instance name;fleet name;opt?;UB;LB tree;LB root;LB root+cuts;time [s];time root [s];time root+cuts [s];time limit [s];BB nodes;routes
Rdp109;1vehc1pcs0perc;true;11606;11606;11470.3;11568.1;95.8113;2.65609;28.596;3600;41;1: (0 2 15 57 87 97 13 58 101 ) ,2: (0 12 29 78 79 3 77 50 101 ) ,3: (0 27 69 30 51 71 65 66 20 1 101 ) ,4: (0 28 76 33 81 9 35 34 68 80 101 ) ,5: (0 31 19 47 49 36 46 48 101 ) ,6: (0 40 21 73 22 41 74 56 4 101 ) ,7: (0 42 14 44 86 38 43 37 100 91 93 101 ) ,8: (0 52 88 7 82 18 6 101 ) ,9: (0 53 26 101 ) ,10: (0 62 11 64 63 90 32 10 70 101 ) ,11: (0 72 75 23 67 39 25 55 54 24 101 ) ,12: (0 92 98 16 61 85 99 96 94 101 ) ,13: (0 95 59 5 83 8 45 84 17 60 89 101 ) ,
Rdp110;1vehc1pcs0perc;true;10804;10804;10655.9;10783.3;298.271;8.20407;161.167;3600;13;1: (0 2 57 87 94 96 6 101 ) ,2: (0 12 26 53 101 ) ,3: (0 21 72 75 56 23 67 39 25 55 4 101 ) ,4: (0 27 31 88 7 62 63 90 32 10 101 ) ,5: (0 28 76 79 78 29 24 54 80 68 77 101 ) ,6: (0 33 9 35 71 65 66 20 1 101 ) ,7: (0 40 73 74 22 41 15 43 42 58 101 ) ,8: (0 52 18 83 8 46 45 17 60 89 101 ) ,9: (0 59 99 5 84 61 16 85 37 97 13 101 ) ,10: (0 69 70 30 51 81 34 3 50 101 ) ,11: (0 82 47 19 11 64 49 36 48 101 ) ,12: (0 95 92 98 100 14 38 86 44 91 93 101 ) ,
Rdp111;1vehc1pcs0perc;true;10596;10596;10464.1;10560.5;650.435;8.45873;162.156;3600;39;1: (0 2 57 15 43 41 22 74 56 72 21 58 101 ) ,2: (0 6 99 84 61 85 93 59 96 101 ) ,3: (0 7 19 64 49 36 47 48 82 52 101 ) ,4: (0 18 83 45 8 46 17 5 60 89 101 ) ,5: (0 27 69 30 20 65 66 32 70 1 101 ) ,6: (0 28 76 79 78 29 24 68 80 12 26 101 ) ,7: (0 40 87 97 95 94 13 101 ) ,8: (0 50 33 81 51 9 71 35 34 3 77 101 ) ,9: (0 53 101 ) ,10: (0 73 75 23 67 39 55 4 25 54 101 ) ,11: (0 88 62 11 63 90 10 31 101 ) ,12: (0 92 42 14 44 38 86 16 91 100 37 98 101 ) ,
Rdp112;1vehc1pcs0perc;false;9589;9588.67;9399.68;9579.88;3600;48.7011;1502.93;3600;8;1: (0 2 41 22 75 56 23 67 39 25 55 54 101 ) ,2: (0 6 94 95 87 42 43 15 57 58 101 ) ,3: (0 12 80 68 24 29 3 77 50 101 ) ,4: (0 18 83 5 99 93 85 98 92 97 13 101 ) ,5: (0 27 69 33 81 9 51 30 32 90 10 70 101 ) ,6: (0 28 76 79 78 34 35 71 65 66 20 1 101 ) ,7: (0 31 62 19 11 63 64 49 36 47 48 101 ) ,8: (0 52 88 7 82 8 46 45 17 84 60 89 101 ) ,9: (0 53 40 21 73 74 72 4 26 101 ) ,10: (0 61 16 86 38 14 44 91 100 37 59 96 101 ) ,
Rdp201;1vehc1pcs0perc;true;11532;11532;11503;11532;6.34029;3.16265;6.34007;3600;1;1: (0 5 83 45 82 47 36 49 46 48 101 ) ,2: (0 27 31 63 64 11 19 62 88 7 18 8 84 17 91 100 93 60 89 101 ) ,3: (0 28 12 29 76 50 3 54 26 101 ) ,4: (0 33 65 71 9 51 81 79 78 34 35 68 77 101 ) ,5: (0 42 15 2 73 21 40 87 57 43 37 97 96 13 58 101 ) ,6: (0 52 69 30 90 10 20 66 32 70 1 101 ) ,7: (0 72 39 67 23 75 22 41 56 74 4 55 25 24 80 101 ) ,8: (0 95 59 92 98 14 38 44 16 61 86 85 99 94 6 53 101 ) ,
Rdp202;1vehc1pcs0perc;true;10396;10396;10315.3;10372.5;417.445;17.4221;61.7688;3600;27;1: (0 27 69 1 30 31 88 7 18 8 84 86 91 100 37 98 93 59 94 101 ) ,2: (0 28 26 21 72 75 39 67 23 56 4 54 55 25 24 80 12 101 ) ,3: (0 40 73 41 22 74 2 58 101 ) ,4: (0 50 33 65 71 29 76 3 79 78 81 9 51 20 66 35 34 68 77 101 ) ,5: (0 52 62 63 90 10 32 70 101 ) ,6: (0 53 101 ) ,7: (0 83 45 82 48 47 36 19 11 64 49 46 17 5 60 89 101 ) ,8: (0 95 92 42 15 14 38 44 16 61 85 99 96 6 87 57 43 97 13 101 ) ,
Rdp203;1vehc1pcs0perc;true;8808;8808;8718.77;8808;494.907;68.2739;494.906;3600;1;1: (0 21 72 75 39 67 23 56 4 55 25 54 24 80 12 26 101 ) ,2: (0 27 69 1 76 3 79 78 81 9 66 71 35 34 29 68 77 28 101 ) ,3: (0 50 33 51 65 20 30 32 90 63 64 49 10 70 31 52 101 ) ,4: (0 53 40 58 101 ) ,5: (0 89 18 45 46 36 47 48 19 11 62 88 7 82 8 83 60 5 84 17 61 91 100 37 98 93 59 94 101 ) ,6: (0 95 92 97 42 15 43 14 44 38 86 16 85 99 96 6 87 57 41 22 74 73 2 13 101 ) ,
Rdp204;1vehc1pcs0perc;false;1.00E+11;7392.69;7315.35;7392.69;3600;662.166;2966.45;3600;1;0
Rdp205;1vehc1pcs0perc;false;9598;9594;9481.4;9579.39;3600;19.2731;849.643;3600;18;1: (0 27 69 31 88 62 11 63 90 64 49 19 7 18 8 46 48 17 60 89 101 ) ,2: (0 28 12 29 33 65 71 9 81 51 30 76 50 3 79 78 34 35 66 20 32 10 70 1 101 ) ,3: (0 52 82 47 36 45 83 5 84 61 16 44 38 86 85 99 6 94 97 87 57 43 91 100 37 93 96 13 58 101 ) ,4: (0 53 40 21 26 101 ) ,5: (0 95 59 92 98 14 42 15 2 73 72 39 67 23 75 41 22 74 56 4 25 55 54 24 80 68 77 101 ) ,
Rdp206;1vehc1pcs0perc;false;1.00E+11;8844.07;8723.38;8844.07;3600;68.4226;2701.28;3600;1;0
Rdp207;1vehc1pcs0perc;false;1.00E+11;7995.67;7929.14;7995.67;3600;243.515;1408.44;3600;1;0
Rdp208;1vehc1pcs0perc;false;1.00E+11;7009.66;6972.77;7009.66;3600;2028.22;2593.66;3600;1;0
Rdp209;1vehc1pcs0perc;false;1.00E+11;8643.5;8498.57;8643.5;3600;63.5515;3217.31;3600;1;0
Rdp210;1vehc1pcs0perc;false;1.00E+11;9086.51;8961.06;9086.51;3600;49.3697;3388.83;3600;1;0
Rdp211;1vehc1pcs0perc;false;1.00E+11;7518.66;7424.34;7518.66;3600;218.405;2572.53;3600;1;0
